
Perfil A

Encinasola  (EN)  29 S 680268 4220005 386  Shot time UTC +/- 2003:260:14:02:01.650  Sept 17:16:02
El Mustio   (MU)  29 S 670215 4188832 502  Shot time UTC +/- 2003:260:16:06:01.140  Sept 17:18:06
Villablanca (VI)  29 S 647330 4125195  39  Shot time UTC +/- 2003:260:18:07:01.350  Sept 17:20:07

Perfil B

MonteRubio  (MR0) 30 S 284312 4272036 670  Shot time UTC +/- 2003:266:18:05.00.355  Sept 23:18:05
Maguilla    (MA0) 30 S 247667 4247866 533  Shot time UTC +/- 2003:266:20:02.01.350  Sept 23:22:02
Rio Tinto   (RT0) 29 S 713258 4175619 368  Shot time UTC +/- 2003:267:16:01:01.840  Sept 24:18:01
Minas Cala  (CA0) 29 S 733391 4203249 588  Shot time UTC +/- 2003:267:18:01:01.100  Sept 24:20:01
Niebla      (NI0) 29 S 702326 4148285 166  Shot time UTC +/- 2003:267:13:31:01.855  Sept 24:15:31

Perfil C

Garlitos    (GA1) 30 S 322856 4303817 556  Shot time UTC +/- 2003:269:18:38:01.265  Sept 26:20:38
Garlitos    (GA2) 30 S 322938 4303893 547  Shot time UTC +/- 2003:269:19:31:00.615  Sept 26:21:31
Monterubio  (MR1) 30 S 284294 4272117 668  Shot time UTC +/- 2003:269:21:03:00:915  Sept 26:23:03
Maguilla    (MA1) 30 S 247623 4247979 529  Shot time UTC +/- 2003:269:22:32:00:495  Sept 26:24:32
Minas Cala  (CA1) 29 S 733343 4203262 580  Shot time UTC +/- 2003:270:13:33:00.430  Sept 27:15:33
Rio Tinto   (RT1) 29 S 713334 4175665 366  Shot time UTC +/- 2003:270:16:01:00.890  Sept 27:18:01
Niebla      (NI1) 29 S 702258 4148289 156  Shot time UTC +/- 2003:270:17:31:00.515  Sept 27:19:31

1001  4124850  647154  8
1002  4125481  647096  11
1003  4125970  647080  12
1004  4126396  647044  17
1005  4126952  647068  32
1006  4127364  647180  28
1007  4128030  647168  42
1008  4128668  647174  67
1009  4129147  647496  75
1010  4129570  647370  86
1011  4130406  646964  107
1012  4130829  646997  109
1013  4131371  647174  110
1014  4131708  647017  101
1015  4132181  646828  195
1016  4132699  646842  90
1017  4133335  646774  105
1018  4133770  646758  112
1019  4134085  646746  113
1020  4134506  646723  114
1021  4134903  646708  115
1023  4135949  646655  116
1024  4136442  646614  129
1025  4136858  646598  131
1026  4137262  646666  135
1027  4137755  646555  132
1028  4138166  646546  135
1029  4138601  646527  142
1030  4138959  646625  141
1031  4139540  646624  162
1032  4139992  646400  158
1033  4140464  646647  153
1034  4140984  646916  135
1035  4141496  647199  128
1036  4141914  647416  143
1037  4142380  647686  143
1038  4142928  647757  150
1040  4143446  648341  168
1041  4143658  648697  172
1042  4143931  649000  173
1043  4144324  649143  160
1044  4144575  649626  160
1045  4144853  649949  170
1046  4145304  650123  171
1047  4145620  650251  167
1048  4145986  650396  173
1049  4146344  650534  176
1050  4146694  650680  178
